Feature,Mean_Absolute_SHAP
num__Current_Role_Tenure_Ratio,0.42590053155585567
num__NumCompaniesWorked,0.424346451765196
num__YearsInCurrentRole,0.3947906447216678
num__TotalWorkingYears,0.3938511641772241
num__OverTime_Flag,0.3761687594144153
num__JobLevel,0.31269226800825256
num__Workload_Stress_Score,0.30091804162079344
num__Engagement_Score,0.2988843541024853
cat__JobRole_Laboratory Technician,0.294780975353288
num__MonthlyIncome,0.27665042746810004
num__Frequent_Travel_Flag,0.25720205896783704
num__EnvironmentSatisfaction,0.2437557102961162
num__PercentSalaryHike,0.22139509256369558
num__YearsSinceLastPromotion,0.21927613215657094
cat__MaritalStatus_Single,0.2032705284187333
cat__BusinessTravel_Travel_Rarely,0.2017107171902815
num__DistanceFromHome,0.19513508821075098
num__DailyRate,0.1913309747597997
num__JobSatisfaction,0.17359399319391816
num__Age,0.17188801078000684
cat__JobRole_Research Director,0.1593722846049655
num__JobInvolvement,0.15923446783623266
num__StockOptionLevel,0.15882872021236066
num__Manager_Tenure_Ratio,0.15366468761815813
cat__Department_Sales,0.14406837669835393
num__Income_Experience_Ratio,0.1415549407078434
cat__MaritalStatus_Divorced,0.13620146819440007
cat__JobRole_Healthcare Representative,0.13094948535187628
cat__EducationField_Life Sciences,0.128971970899544
num__Promotion_Delay_Ratio,0.1287953342966134
num__PerformanceRating,0.12182650000992763
num__TrainingTimesLastYear,0.12138592598986866
num__YearsWithCurrManager,0.120769852872529
cat__JobRole_Sales Representative,0.11353805524645302
cat__BusinessTravel_Non-Travel,0.1112870197574808
cat__Gender_Female,0.09432783171791075
num__YearsAtCompany,0.09279487877898908
cat__OverTime_No,0.09092974405602872
num__WorkLifeBalance,0.08207209760129772
cat__EducationField_Technical Degree,0.07916372935104261
cat__Department_Research & Development,0.07870709400265027
num__Workload_Stress_Flag,0.07723127747598234
cat__EducationField_Other,0.07364402706262158
cat__OverTime_Yes,0.07177527759393766
cat__Gender_Male,0.07077825104942576
num__RelationshipSatisfaction,0.0548612126235423
cat__JobRole_Manufacturing Director,0.05416121530577837
num__Long_Distance_Flag,0.05402392377655182
cat__EducationField_Medical,0.05189838801098912
num__HourlyRate,0.047315757924854346
cat__JobRole_Human Resources,0.04348069117404212
cat__MaritalStatus_Married,0.042640447405797
cat__BusinessTravel_Travel_Frequently,0.03681338337513568
cat__JobRole_Research Scientist,0.034507350111242854
cat__JobRole_Manager,0.03199810838414262
cat__EducationField_Human Resources,0.025006883109881025
cat__Department_Human Resources,0.02125616201573454
num__MonthlyRate,0.019873726343860393
num__Education,0.019424844393875842
cat__JobRole_Sales Executive,0.010798764465681121
cat__EducationField_Marketing,0.005705285596675319
